iters;time
5;0.007121
10;0.095784
15;0.1235
20;0.150517
25;0.17935
30;0.204553
35;0.229825
40;0.254679
45;0.281417
50;0.30669
55;0.330426
60;0.359468
65;0.385648
70;0.408756
75;0.447642
80;0.470052
85;0.495255
90;0.526671
95;0.558157
100;0.588176
105;0.614356
110;0.638651
115;0.665529
120;0.692966
125;0.716982
130;0.747001
135;0.808018
140;0.840411
145;0.873363
150;0.897588
155;0.923
160;0.947156
165;0.972568
170;1.02653
175;1.05369
180;1.07805
185;1.10326
190;1.12706
195;1.15178
200;1.17719
205;1.20128
210;1.22676
215;1.25161
220;1.27737
225;1.306
230;1.33029
235;1.3608
240;1.38502
245;1.417
250;1.44262
255;1.47173
260;1.50036
265;1.52612
270;1.55467
275;1.58371
280;1.6094
285;1.63851
290;1.66281
295;1.68822
300;1.71252
305;1.74177
310;1.76683
315;1.79175
320;1.81696
325;1.84028
330;1.87078
335;1.89885
340;1.9237
345;1.94849
350;1.97341
355;1.99882
360;2.02291
365;2.04825
370;2.07352
375;2.10173
380;2.12686
385;2.1559
390;2.18075
395;2.20596
400;2.23137
405;2.25685
410;2.28143
415;2.3067
420;2.33197
425;2.35731
430;2.38245
435;2.40625
440;2.43103
445;2.45645
450;2.48172
455;2.50734
460;2.53205
465;2.5574
470;2.58267
475;2.6078
480;2.63307
485;2.65842
490;2.68739
495;2.71699
500;2.74282
505;2.7676
510;2.79309
515;2.81815
520;2.84349
525;2.86827
530;2.8939
535;2.91917
540;2.94444
545;2.96929
550;2.99464
555;3.01977
560;3.04497
565;3.06955
570;3.09482
575;3.12435
580;3.14906
585;3.17385
590;3.19772
595;3.22544
600;3.2526
605;3.27731
610;3.30244
615;3.3266
620;3.35187
625;3.37707
630;3.40276
635;3.42755
640;3.45282
645;3.47816
650;3.52047
655;3.5449
660;3.57499
665;3.60047
670;3.62519
675;3.65053
680;3.67629
685;3.70163
690;3.72537
695;3.75302
700;3.7801
705;3.80405
710;3.82751
715;3.85292
720;3.87798
725;3.90291
730;3.92811
735;3.95289
740;3.97809
745;4.00337
750;4.02864
755;4.05545
760;4.07925
765;4.10432
770;4.13029
775;4.15605
780;4.1809
785;4.2061
790;4.23082
795;4.2556
800;4.28101
805;4.3058
810;4.33093
815;4.35474
820;4.38448
825;4.41024
830;4.43558
835;4.4612
840;4.48599
845;4.51126
850;4.53472
855;4.56096
860;4.58659
865;4.61221
870;4.63706
875;4.6608
880;4.68705
885;4.71225
890;4.7362
895;4.78723
900;4.82011
905;4.85062
910;4.87484
915;4.90047
920;4.92469
925;4.94892
930;4.97363
935;5.00267
940;5.02655
945;5.05035
950;5.07577
955;5.1009
960;5.1261
965;5.15089
970;5.1756
975;5.20066
980;5.22586
985;5.25065
990;5.27599
995;5.30084
1000;5.32605
1005;5.35076
1010;5.37645
1015;5.40326
1020;5.42693
1025;5.45241
1030;5.47768
1035;5.50302
1040;5.52781
1045;5.55161
1050;5.57919
1055;5.60355
1060;5.62827
1065;5.65179
1070;5.68468
1075;5.71016
1080;5.7436
1085;5.76873
1090;5.79226
1095;5.82514
1100;5.85083
1105;5.87331
1110;5.89705
1115;5.92176
1120;5.94571
1125;5.97887
1130;6.00449
1135;6.02823
1140;6.05203
1145;6.07689
1150;6.10223
1155;6.12701
1160;6.15264
1165;6.17644
1170;6.20416
1175;6.22978
1180;6.25575
1185;6.28095
1190;6.30441
1195;6.33199
1200;6.3611
1205;6.38455
1210;6.41164
1215;6.43922
1220;6.46442
1225;6.49144
1230;6.51469
1235;6.53989
1240;6.56467
1245;6.59099
1250;6.61724
1255;6.64251
1260;6.66772
1265;6.69676
1270;6.72196
1275;6.74779
1280;6.77292
1285;6.79673
1290;6.85154
1295;6.87639
1300;6.90215
1305;6.92547
1310;6.9536
1315;6.97922
1320;7.00833
1325;7.03347
1330;7.05909
1335;7.08429
1340;7.10901
1345;7.13442
1350;7.1592
1355;7.18447
1360;7.2087
1365;7.23628
1370;7.26155
1375;7.28724
1380;7.3123
1385;7.33702
1390;7.36229
1395;7.38714
1400;7.41248
1405;7.4372
1410;7.4624
1415;7.48621
1422;7.51392
1429;7.54282
1436;7.57026
1443;7.59546
1450;7.62025
1457;7.65083
1464;7.67659
1471;7.70333
1478;7.7286
1485;7.75617
1492;7.78138
1499;7.80658
1506;7.83332
1513;7.8581
1520;7.88428
1527;7.91186
1534;7.93671
1541;7.96387
1548;7.98781
1555;8.01497
1562;8.04304
1569;8.06859
1576;8.09463
1583;8.12178
1590;8.14901
1597;8.17422
1604;8.2004
1611;8.22518
1618;8.25282
1625;8.27824
1632;8.304
1639;8.32899
1646;8.35308
1653;8.38498
1660;8.41786
1667;8.45123
1674;8.48412
1681;8.517
1688;8.54946
1695;8.58269
1702;8.60678
1709;8.63875
1716;8.67163
1723;8.70452
1730;8.7374
1737;8.8003
1744;8.83695
1751;8.86453
1758;8.88889
1765;8.92471
1772;8.9513
1779;8.98139
1786;9.00765
1793;9.03278
1800;9.0628
1807;9.09086
1814;9.11662
1821;9.14043
1828;9.17024
1835;9.19977
1842;9.22546
1849;9.25073
1856;9.27691
1863;9.30044
1870;9.33046
1877;9.35908
1884;9.38499
1891;9.41005
1898;9.43686
1905;9.46443
1912;9.49026
1919;9.52028
1926;9.54542
1933;9.56978
1940;9.6021
1947;9.62786
1954;9.65356
1961;9.67855
1968;9.70473
1975;9.73
1982;9.76058
1989;9.79151
1996;9.81636
2003;9.84121
2010;9.86537
2017;9.89588
2024;9.92248
2031;9.95019
2038;9.97498
2045;9.99976
2052;10.0273
2059;10.053
2066;10.0788
2073;10.1041
2080;10.1318
2087;10.1576
2094;10.1922
2101;10.22
2108;10.2457
2115;10.272
2122;10.2987
2129;10.3259
2136;10.3512
2143;10.3773
2150;10.4045
2157;10.4325
2164;10.4582
2171;10.4838
2178;10.5076
2185;10.5356
2192;10.5614
2199;10.5872
2206;10.613
2213;10.6383
2220;10.6668
2227;10.6906
2234;10.7161
