iters;time;core
10;1.0529;3
10;1.42604;7
18;1.69836;5
21;1.88881;6
25;2.04701;7
32;2.19779;5
35;2.27322;3
40;2.32449;5
45;2.39271;2
51;2.52027;5
55;2.59288;2
60;2.65779;3
66;2.70771;5
70;2.77875;2
75;2.83635;6
81;2.87707;5
85;2.94729;6
90;3.03911;3
95;3.09076;2
101;3.14543;0
105;3.32283;3
110;3.37109;7
115;3.49191;0
120;3.64113;3
126;3.68126;2
130;3.73131;6
135;3.77974;2
141;3.82701;1
145;3.88669;3
150;3.92721;1
157;3.98215;5
160;4.07478;2
165;4.12799;3
170;4.19106;7
175;4.23869;3
180;4.28603;7
185;4.333;1
190;4.38998;3
195;4.43003;2
200;4.47804;3
205;4.5251;2
210;4.57226;6
215;4.62043;3
220;4.74691;7
226;4.7947;0
230;4.91613;2
235;4.96218;3
240;5.08299;2
245;5.12908;1
250;5.18538;0
255;5.28576;2
260;5.32672;1
265;5.37893;0
274;5.48012;5
275;5.56155;3
280;5.68433;7
287;5.73206;5
290;5.80946;0
297;5.92832;5
302;6.00756;3
305;6.12464;2
310;6.17033;7
315;6.22802;2
320;6.28625;7
327;6.33732;5
331;6.43978;6
335;6.51701;2
341;6.56565;0
345;6.68063;3
350;6.72567;6
355;6.76505;3
362;6.80163;2
365;6.87762;7
370;6.93012;2
377;6.98651;5
383;7.16043;0
385;7.29771;3
392;7.35195;0
395;7.50659;5
400;7.6031;6
405;7.6404;3
410;7.67842;2
417;7.71502;1
420;7.76927;3
425;7.82835;2
430;7.87611;5
435;7.99445;3
440;8.02959;7
445;8.09217;2
450;8.14423;7
455;8.19076;2
460;8.24412;7
465;8.29379;1
470;8.35435;6
475;8.40631;3
480;8.45845;6
485;8.50919;3
490;8.55992;6
495;8.61688;7
500;8.66419;3
505;8.72669;7
513;8.77492;5
515;8.90777;6
520;8.94541;2
525;8.99185;6
530;9.03948;2
536;9.09389;0
540;9.19803;7
545;9.24464;1
550;9.30667;3
555;9.34664;7
560;9.38273;3
565;9.41977;7
570;9.45625;0
575;9.49281;1
580;9.53012;6
585;9.56742;3
590;9.60492;1
595;9.64132;7
600;9.67715;3
605;9.72609;7
610;9.77372;1
615;9.83576;3
620;9.88909;6
625;9.94701;7
630;9.98084;6
635;10.0298;7
640;10.0671;6
645;10.1127;2
653;10.1873;5
655;10.3283;6
663;10.3648;0
665;10.47;6
670;10.5176;7
675;10.5558;6
680;10.5947;7
685;10.6307;3
690;10.6665;7
695;10.6999;3
700;10.7487;7
706;10.7857;5
710;10.9222;7
717;10.9563;0
720;11.0181;3
725;11.0568;2
730;11.091;6
735;11.1394;7
740;11.1872;3
745;11.234;6
750;11.2684;3
755;11.3025;7
762;11.3363;0
768;11.8504;1
770;11.9044;7
777;11.9541;5
780;12.1611;6
785;12.196;3
790;12.2382;2
795;12.2816;7
800;12.3159;2
805;12.3505;6
810;12.3853;2
815;12.4193;3
820;12.4541;0
825;12.4996;1
830;12.5342;2
835;12.5682;3
840;12.6035;2
845;12.6389;1
850;12.6739;6
855;12.7088;7
860;12.7431;1
865;12.7776;3
870;12.8117;6
875;12.8526;7
880;12.8861;1
885;12.9202;6
890;12.9534;2
895;12.9867;0
900;13.0291;3
905;13.0728;1
910;13.5948;2
918;13.647;0
920;13.6867;1
925;13.723;7
930;13.7583;0
935;13.7945;3
940;13.8312;7
945;13.873;0
950;13.9091;6
955;13.951;3
960;13.9872;6
965;14.0228;0
970;14.0778;2
975;14.117;3
980;14.1539;7
985;14.1894;3
990;14.2264;2
995;14.2624;1
1000;14.3042;6
1005;14.3397;2
1010;14.3748;1
1015;14.4167;6
1020;14.453;2
1025;14.4888;0
1030;14.5248;6
1035;14.5609;2
1040;14.5959;6
1045;14.6327;2
1050;14.6552;6
1055;14.6923;2
1060;14.728;1
1065;14.7639;2
1070;14.7996;1
1075;14.835;3
1080;14.8714;6
1085;14.9129;2
1090;14.9513;0
1095;14.9866;1
1100;15.0225;3
1105;15.0651;2
1110;15.1015;1
1115;15.1397;6
1120;15.1753;1
1125;15.2113;3
1130;15.2443;6
1135;15.2855;3
1140;15.3084;2
1145;15.3484;6
1150;15.3824;2
1155;15.4173;0
1160;15.5733;6
1165;15.6119;2
1170;15.6518;3
1175;15.6996;6
1180;15.7575;3
1185;15.8159;2
1190;15.8654;3
1195;16.004;7
1200;16.0788;6
1205;16.1341;3
1212;16.24;1
1215;16.3951;3
1222;16.4312;2
1225;16.5021;6
1230;16.5468;3
1235;16.594;6
1240;16.6513;3
1245;16.7111;6
1250;16.7602;3
1255;16.8088;6
1260;16.8578;3
1265;16.9064;7
1270;16.9671;2
1275;17.0158;7
1280;17.065;2
1285;17.1144;3
1294;17.2217;5
1295;17.3104;3
1300;17.3713;2
1306;17.4204;5
1311;17.4992;1
1315;17.6108;0
1322;17.7294;5
1325;17.8158;7
1330;17.8749;6
1335;17.9345;2
1340;17.9836;3
1345;18.0326;7
1350;18.0811;2
1355;18.1402;7
1360;18.1887;2
1365;18.2374;3
1370;18.2988;2
1377;18.3479;5
1380;18.4336;2
1385;18.4821;5
1392;18.5525;7
1399;18.6007;6
1408;18.6602;5
1413;18.7373;6
1420;18.7857;2
1427;18.8447;7
1434;18.9039;2
1441;18.9512;7
1448;18.9997;3
1455;19.0499;6
1462;19.1112;3
1469;19.1706;6
1476;19.23;7
1483;19.2784;6
1490;19.3314;2
1497;19.38;3
1504;19.4402;6
1511;19.5003;2
1521;19.5497;5
1525;19.6279;6
1532;19.676;5
1539;19.741;6
1546;19.8012;2
1553;19.8607;6
1560;19.9099;2
1568;19.9586;5
1574;20.0231;3
1581;20.0869;6
1588;20.1258;3
1595;20.1738;2
1602;20.2336;3
1609;20.2633;2
1616;20.2983;6
1623;20.3214;2
1630;20.3526;1
1637;20.4808;6
1644;20.5171;2
1651;20.5857;3
1660;20.6236;5
1665;20.6624;3
1672;20.6853;2
1679;20.708;5
1686;20.7372;6
1695;20.7607;1
1700;20.8766;6
1707;20.9117;2
1716;20.9606;5
1721;21.0383;2
1728;21.0761;5
1735;21.1596;7
1746;21.2008;0
1749;21.3164;1
1756;21.4351;0
1763;21.5526;6
1770;21.6015;7
1777;21.6527;6
1784;21.7013;2
1791;21.7607;6
1798;21.8097;2
1805;21.8582;3
1814;21.9181;5
1819;22.0013;7
1826;22.049;2
1833;22.0974;7
1840;22.1458;5
1847;22.2201;6
1854;22.2809;5
1861;22.3597;6
1870;22.4189;5
1875;22.5003;6
1882;22.5606;2
1889;22.6198;6
1897;22.6793;5
1903;22.7505;7
1910;22.7986;5
1917;22.8749;6
1924;22.9348;2
1931;22.9834;3
1938;23.043;7
1945;23.1023;6
1952;23.1513;3
1959;23.1999;2
1966;23.248;6
1973;23.2967;7
1981;23.3451;5
1987;23.4297;2
1994;23.4904;6
2001;23.5514;2
2008;23.5998;6
2015;23.6487;7
2022;23.6974;6
2029;23.7572;7
2036;23.8057;3
2043;23.8651;7
2052;23.9121;5
2057;23.9867;3
2064;24.035;7
2071;24.0867;3
2078;24.1457;5
2085;24.2204;7
2092;24.2812;5
2099;24.3569;2
2106;24.4061;3
2113;24.4658;5
2120;24.5436;2
2127;24.5951;6
2134;24.6441;7
2142;24.6926;5
2148;24.766;6
2155;24.8148;5
2162;24.8781;2
2169;24.9274;5
2176;24.9912;6
2183;25.0505;7
2190;25.0993;6
2197;25.1589;7
2204;25.2074;6
2211;25.2563;7
2218;25.3052;5
2225;25.3695;2
2232;25.4185;5
2239;25.4819;3
2246;25.5418;7
2254;25.5904;5
2260;25.6667;7
2267;25.7172;6
2274;25.7785;7
2281;25.843;6
2289;25.9035;2
2295;25.935;6
2302;25.9704;7
2310;26.0179;5
2316;26.0969;6
