iters;time
5;0.006562
10;0.093688
15;0.121263
20;0.157147
25;0.183256
30;0.206085
35;0.231008
40;0.257257
45;0.283716
50;0.30822
55;0.334469
60;0.360718
65;0.391226
70;0.416079
75;0.440304
80;0.46411
85;0.488405
90;0.52366
95;0.549281
100;0.574343
105;0.600523
110;0.624398
115;0.647785
120;0.676408
125;0.702658
130;0.728279
135;0.754528
140;0.77973
145;0.805351
150;0.829995
155;0.855685
160;0.880469
165;0.906229
170;0.960194
175;0.985396
180;1.0092
185;1.03915
190;1.06352
195;1.09249
200;1.11776
205;1.14198
210;1.16635
215;1.19211
220;1.21606
225;1.24558
230;1.27072
235;1.29641
240;1.32168
245;1.35114
250;1.37676
255;1.40148
260;1.42528
265;1.45062
270;1.47499
275;1.5041
280;1.52972
285;1.55443
290;1.57964
295;1.60484
300;1.63039
305;1.6551
310;1.68086
315;1.70474
320;1.73196
325;1.75773
330;1.78823
335;1.81344
340;1.84003
345;1.86468
350;1.89037
355;1.91899
360;1.94364
365;1.96891
370;1.99418
375;2.01952
380;2.04437
385;2.06951
390;2.09855
395;2.1285
400;2.15244
405;2.18148
410;2.20529
415;2.22903
420;2.25856
425;2.28432
430;2.30826
435;2.33738
440;2.36314
445;2.38715
450;2.4104
455;2.43567
460;2.46087
465;2.48656
470;2.51135
475;2.53662
480;2.56154
485;2.58625
490;2.61146
495;2.6641
500;2.69034
505;2.71939
510;2.74361
515;2.7693
520;2.79269
525;2.82089
530;2.84861
535;2.87625
540;2.90173
545;2.9254
550;2.94879
555;2.97162
560;2.99682
565;3.02398
570;3.04925
575;3.07508
580;3.09993
585;3.1236
590;3.14831
595;3.17233
600;3.19934
605;3.22454
610;3.24933
615;3.2732
620;3.29945
625;3.32619
630;3.35042
635;3.37806
640;3.40368
645;3.4277
650;3.47063
655;3.49646
660;3.52174
665;3.54743
670;3.57214
675;3.59601
680;3.62317
685;3.649
690;3.67379
695;3.69787
700;3.72768
705;3.75302
710;3.77683
715;3.80398
720;3.83107
725;3.85495
730;3.88113
735;3.90605
740;3.92986
745;3.95631
750;3.98375
755;4.00867
760;4.03388
765;4.05859
770;4.08288
775;4.10913
780;4.13531
785;4.15975
790;4.18397
795;4.21015
800;4.23633
805;4.26111
810;4.28541
815;4.31494
820;4.34014
825;4.36409
830;4.39117
835;4.41659
840;4.44325
845;4.47132
850;4.49547
855;4.5206
860;4.54581
865;4.57052
870;4.59768
875;4.62344
880;4.64822
885;4.67356
890;4.69835
895;4.72208
900;4.74631
905;4.7766
910;4.80195
915;4.82617
920;4.85326
925;4.87902
930;4.9052
935;4.93012
940;4.95491
945;4.97864
950;5.00384
955;5.02946
960;5.05606
965;5.08127
970;5.10647
975;5.13041
980;5.15471
985;5.17858
990;5.20232
995;5.22759
1000;5.25335
1005;5.27778
1010;5.3018
1015;5.32805
1020;5.35339
1025;5.38006
1030;5.44484
1035;5.47068
1040;5.49539
1045;5.52255
1050;5.54817
1055;5.57379
1060;5.59752
1065;5.62273
1070;5.64653
1075;5.68325
1080;5.70852
1085;5.7338
1090;5.75774
1095;5.78685
1100;5.81234
1105;5.83879
1110;5.86365
1115;5.88892
1120;5.91314
1125;5.93932
1130;5.96697
1135;5.99224
1140;6.01619
1145;6.04244
1150;6.0698
1155;6.09487
1160;6.11979
1165;6.14548
1170;6.17501
1175;6.20021
1180;6.22541
1185;6.25453
1190;6.2798
1195;6.30751
1200;6.33285
1205;6.35687
1210;6.38263
1215;6.40895
1220;6.43373
1225;6.459
