iters;time;core
843;3.96328;3
852;4.34105;2
857;4.48961;1
862;4.68782;6
867;4.84496;4
872;5.0431;2
877;5.07977;0
882;5.23914;4
887;5.32651;6
892;5.50307;2
897;5.55119;1
901;5.60707;2
907;5.63947;0
912;6.04497;7
917;6.12871;3
922;6.59504;2
927;6.64344;3
932;6.71307;2
937;6.75323;1
942;6.8075;3
946;6.85869;2
950;6.90151;1
957;6.95354;6
962;7.00801;4
967;7.07946;7
972;7.14372;2
977;7.19037;6
981;7.241;2
987;7.28005;3
991;7.33075;2
997;7.36972;3
1002;7.42036;4
1005;7.47846;1
1010;7.54342;7
1014;7.60537;1
1022;7.65998;2
1027;7.70803;1
1032;7.7572;6
1037;7.80825;7
1041;7.86881;2
1047;7.91895;7
1052;7.98328;2
1057;8.02525;4
1062;8.09258;1
1066;8.143;7
1072;8.1993;2
1077;8.24071;6
1082;8.30224;2
1087;8.34317;7
1092;8.39562;3
1095;8.44612;2
1102;8.49123;3
1107;8.62316;2
1112;8.66234;1
1117;8.70942;6
1120;8.77172;1
1127;8.82507;2
1132;8.86425;0
1137;8.99639;3
1141;9.04927;2
1147;9.09417;6
1149;9.15005;2
1157;9.24517;4
1158;9.32486;3
1167;9.38394;1
1172;9.44366;4
1177;9.50686;2
1182;9.5429;3
1186;9.57964;2
1192;9.6258;6
1196;9.67728;2
1202;9.71981;1
1207;9.77059;2
1212;9.80858;6
1214;9.85488;2
1222;9.89169;1
1227;9.94302;2
1232;9.97983;4
1237;10.0629;6
1242;10.1201;1
1247;10.1803;6
1252;10.2366;2
1257;10.2781;6
1261;10.3312;2
1267;10.3622;1
1272;10.417;3
1277;10.478;6
1282;10.5298;2
1287;10.568;1
1292;10.6314;6
1297;10.6752;2
1302;10.7066;1
1306;10.7582;2
1312;10.7873;1
1317;10.8266;2
1322;10.8609;1
1327;10.9128;2
1332;10.9486;1
1336;10.9867;2
1342;11.0158;1
1347;11.0548;2
1352;11.0879;3
1357;11.1642;1
1362;11.2153;2
1367;11.2616;1
1372;11.3139;6
1377;11.3945;2
1382;11.4492;1
1387;11.4959;6
1392;11.546;1
1397;11.5984;2
1402;11.639;1
1407;11.6935;2
1412;11.725;1
